Controller Class Name,Method,EndPoint,Description,Parameters,Function Name,Response Type,Sample Response JSON
PaymentCallbackController,POST,/api/v1/payments/callback/failure,Handle payment failure callback from payment gateway,@RequestBody PaymentFailureCallbackDto,"handleFailure(PaymentFailureCallbackDto callbackDto)","ResponseEntity<PaymentResponseDto>","{""id"": 1, ""orderId"": 10, ""status"": ""FAILED"", ""errorMessage"": ""Card declined"", ""failedAt"": ""2024-01-20T10:05:00""}"
PaymentCallbackController,POST,/api/v1/payments/callback/cancel,Handle payment cancellation callback,@RequestParam String paymentId,"handleCancel(String paymentId)","ResponseEntity<PaymentResponseDto>","{""id"": 1, ""orderId"": 10, ""status"": ""CANCELLED"", ""cancelledAt"": ""2024-01-20T10:05:00""}"
PaymentCallbackController,POST,/api/v1/payments/callback/verify,Verify payment with payment provider,@RequestBody PaymentVerificationRequestDto,"verifyPayment(PaymentVerificationRequestDto requestDto)","ResponseEntity<PaymentVerificationResultDto>","{""verified"": true, ""paymentId"": 1, ""providerPaymentId"": ""pi_stripe_123"", ""status"": ""COMPLETED"", ""amount"": 100.00, ""verifiedAt"": ""2024-01-20T10:06:00""}"
PaymentCallbackController,GET,/api/v1/payments/callback/redirect/success,Get success redirect URL for payment,@RequestParam String paymentId,"getSuccessRedirectUrl(String paymentId)",ResponseEntity<String>,"{""redirectUrl"": ""https://ceylonwildcapture.com/payment/success?paymentId=1""}"
PaymentCallbackController,GET,/api/v1/payments/callback/redirect/failure,Get failure redirect URL for payment,@RequestParam String paymentId / @RequestParam String errorMessage,"getFailureRedirectUrl(String paymentId, String errorMessage)",ResponseEntity<String>,"{""redirectUrl"": ""https://ceylonwildcapture.com/payment/failure?paymentId=1&error=Card+declined""}"
PaymentCallbackController,GET,/api/v1/payments/callback/redirect/cancel,Get cancel redirect URL for payment,@RequestParam String paymentId,"getCancelRedirectUrl(String paymentId)",ResponseEntity<String>,"{""redirectUrl"": ""https://ceylonwildcapture.com/payment/cancel?paymentId=1""}"
PaymentWebhookController,POST,/api/v1/payments/webhook/stripe,Handle Stripe webhook events,@RequestBody String payload / @RequestHeader String Stripe-Signature / HttpServletRequest request,"handleStripeWebhook(String payload, String signature, HttpServletRequest request)","ResponseEntity<WebhookEventDto>","{""id"": 1, ""provider"": ""STRIPE"", ""eventType"": ""payment_intent.succeeded"", ""paymentId"": ""pi_stripe_123"", ""processed"": true, ""receivedAt"": ""2024-01-20T10:05:00"", ""ipAddress"": ""192.168.1.1""}"
PaymentWebhookController,POST,/api/v1/payments/webhook/paypal,Handle PayPal webhook events,@RequestBody String payload / @RequestHeader String PAYPAL-TRANSMISSION-SIG / HttpServletRequest request,"handlePayPalWebhook(String payload, String signature, HttpServletRequest request)","ResponseEntity<WebhookEventDto>","{""id"": 2, ""provider"": ""PAYPAL"", ""eventType"": ""PAYMENT.CAPTURE.COMPLETED"", ""paymentId"": ""PAY-123ABC"", ""processed"": true, ""receivedAt"": ""2024-01-20T10:05:00""}"
PaymentWebhookController,POST,/api/v1/payments/webhook/razorpay,Handle Razorpay webhook events,@RequestBody String payload / @RequestHeader String X-Razorpay-Signature / HttpServletRequest request,"handleRazorpayWebhook(String payload, String signature, HttpServletRequest request)","ResponseEntity<WebhookEventDto>","{""id"": 3, ""provider"": ""RAZORPAY"", ""eventType"": ""payment.captured"", ""paymentId"": ""pay_razorpay123"", ""processed"": true, ""receivedAt"": ""2024-01-20T10:05:00""}"
PaymentWebhookController,POST,/api/v1/payments/webhook/{eventId}/retry,Retry failed webhook processing (admin only),@PathVariable Long eventId,"retryWebhookProcessing(Long eventId)",ResponseEntity<Void>,"{""status"": ""200 OK""}"
PaymentWebhookController,GET,/api/v1/payments/webhook/payment/{paymentId},Get webhook events by payment ID (admin only),@PathVariable String paymentId / Pageable,"getWebhookEventsByPaymentId(String paymentId, Pageable pageable)","ResponseEntity<Page<WebhookEventDto>>","{""content"": [{""id"": 1, ""eventType"": ""payment_intent.succeeded"", ""provider"": ""STRIPE""}], ""totalElements"": 3}"
PaymentWebhookController,GET,/api/v1/payments/webhook/provider/{provider},Get webhook events by provider (admin only),@PathVariable PaymentProvider provider / Pageable,"getWebhookEventsByProvider(PaymentProvider provider, Pageable pageable)","ResponseEntity<Page<WebhookEventDto>>","{""content"": [{""id"": 1, ""provider"": ""STRIPE"", ""eventType"": ""payment_intent.succeeded""}], ""totalElements"": 150}"
PaymentWebhookController,GET,/api/v1/payments/webhook/failed,Get failed webhook events (admin only),Pageable,"getFailedWebhookEvents(Pageable pageable)","ResponseEntity<Page<WebhookEventDto>>","{""content"": [{""id"": 5, ""provider"": ""STRIPE"", ""processed"": false, ""errorMessage"": ""Processing failed""}], ""totalElements"": 8}"
PaymentLogController,GET,/api/v1/payments/logs/payment/{paymentId},Get payment logs for specific payment with pagination (admin only),@PathVariable Long paymentId / Pageable,"getPaymentLogs(Long paymentId, Pageable pageable)","ResponseEntity<Page<TransactionDetailsDto>>","{""content"": [{""id"": 1, ""paymentId"": 1, ""transactionType"": ""PAYMENT_CREATED"", ""message"": ""Payment intent created"", ""timestamp"": ""2024-01-20T10:00:00""}], ""totalElements"": 5}"
PaymentLogController,GET,/api/v1/payments/logs/payment/{paymentId}/list,Get payment logs list for specific payment (admin only),@PathVariable Long paymentId,"getPaymentLogsList(Long paymentId)","ResponseEntity<List<TransactionDetailsDto>>","[{""id"": 1, ""transactionType"": ""PAYMENT_CREATED"", ""message"": ""Payment intent created""}, {""id"": 2, ""transactionType"": ""PAYMENT_COMPLETED"", ""message"": ""Payment completed successfully""}]"
PaymentLogController,GET,/api/v1/payments/logs/type/{transactionType},Get logs by transaction type (admin only),@PathVariable TransactionType transactionType / Pageable,"getLogsByTransactionType(TransactionType transactionType, Pageable pageable)","ResponseEntity<Page<TransactionDetailsDto>>","{""content"": [{""id"": 1, ""transactionType"": ""PAYMENT_CREATED"", ""paymentId"": 1}], ""totalElements"": 200}"
PaymentLogController,GET,/api/v1/payments/logs/failed,Get failed transaction logs (admin only),Pageable,"getFailedTransactions(Pageable pageable)","ResponseEntity<Page<TransactionDetailsDto>>","{""content"": [{""id"": 10, ""transactionType"": ""PAYMENT_FAILED"", ""paymentId"": 5, ""errorMessage"": ""Card declined""}], ""totalElements"": 25}"
PaymentLogController,DELETE,/api/v1/payments/logs/cleanup,Delete old payment logs (admin only),@RequestParam int daysToKeep (default: 90),"deleteOldPaymentLogs(int daysToKeep)",ResponseEntity<Long>,"{""deletedCount"": 500}"
