Controller Class Name,Method,EndPoint,Description,Parameters,Function Name,Response Type,Sample Response JSON
PhotoController,GET,/api/v1/photos/{id}/similar,Get similar photos based on a photo ID,@PathVariable Long id / @RequestParam Integer limit (default: 10),"getSimilar(Long id, Integer limit)","ResponseEntity<List<PhotoResponseDto>>","[{""id"": 2, ""title"": ""Similar Photo 1""}, {""id"": 3, ""title"": ""Similar Photo 2""}]"
PhotoController,GET,/api/v1/photos/by-tag/{tagName},Get photos by tag name,@PathVariable String tagName / Pageable,"getByTag(String tagName, Pageable pageable)","Page<PhotoResponseDto>","{""content"": [{""id"": 1, ""title"": ""Photo with Tag"", ""tags"": [""wildlife""]}], ""totalElements"": 30}"
PhotoController,GET,/api/v1/photos/by-category/{categorySlug},Get photos by category slug,@PathVariable String categorySlug / Pageable,"getByCategory(String categorySlug, Pageable pageable)","Page<PhotoResponseDto>","{""content"": [{""id"": 1, ""title"": ""Category Photo"", ""category"": ""wildlife""}], ""totalElements"": 50}"
PhotoController,GET,/api/v1/photos/by-location,Get photos by location,@RequestParam String location / Pageable,"getByLocation(String location, Pageable pageable)","Page<PhotoResponseDto>","{""content"": [{""id"": 1, ""title"": ""Photo"", ""location"": ""Yala National Park""}], ""totalElements"": 25}"
PhotoController,GET,/api/v1/photos/by-price-range,Get photos within price range,@RequestParam BigDecimal minPrice / @RequestParam BigDecimal maxPrice / Pageable,"getByPriceRange(BigDecimal minPrice, BigDecimal maxPrice, Pageable pageable)","Page<PhotoResponseDto>","{""content"": [{""id"": 1, ""price"": 25.00}, {""id"": 2, ""price"": 30.00}], ""totalElements"": 40}"
PhotoController,GET,/api/v1/photos/uploaded-between,Get photos uploaded between date range,@RequestParam LocalDateTime startDate / @RequestParam LocalDateTime endDate / Pageable,"getUploadedBetween(LocalDateTime startDate, LocalDateTime endDate, Pageable pageable)","Page<PhotoResponseDto>","{""content"": [{""id"": 1, ""uploadDate"": ""2024-01-15T10:00:00""}], ""totalElements"": 35}"
PhotoController,GET,/api/v1/photos/search,Simple search photos by term,@RequestParam String q / Pageable,"search(String searchTerm, Pageable pageable)","Page<PhotoResponseDto>","{""content"": [{""id"": 1, ""title"": ""Wildlife Photo"", ""description"": ""Contains search term""}], ""totalElements"": 20}"
PhotoController,POST,/api/v1/photos/advanced-search,Advanced search with multiple criteria,@RequestBody PhotoSearchCriteria / Pageable,"advancedSearch(PhotoSearchCriteria searchCriteria, Pageable pageable)","Page<PhotoResponseDto>","{""content"": [{""id"": 1, ""title"": ""Matching Photo""}], ""totalElements"": 18}"
PhotoController,PATCH,/api/v1/photos/{id}/deactivate,Deactivate a photo,@PathVariable Long id,"deactivate(Long id)","ResponseEntity<PhotoResponseDto>","{""id"": 1, ""title"": ""Photo"", ""isActive"": false, ""updatedAt"": ""2024-01-20T17:00:00""}"
PhotoController,PATCH,/api/v1/photos/{id}/activate,Activate a photo,@PathVariable Long id,"activate(Long id)","ResponseEntity<PhotoResponseDto>","{""id"": 1, ""title"": ""Photo"", ""isActive"": true, ""updatedAt"": ""2024-01-20T17:00:00""}"
PhotoController,PATCH,/api/v1/photos/{id}/approve,Approve a photo for publication,@PathVariable Long id,"approve(Long id)","ResponseEntity<PhotoResponseDto>","{""id"": 1, ""title"": ""Photo"", ""approvalStatus"": ""APPROVED"", ""approvedAt"": ""2024-01-20T17:30:00""}"
PhotoController,PATCH,/api/v1/photos/{id}/reject,Reject a photo with reason,@PathVariable Long id / @RequestParam String reason,"reject(Long id, String reason)","ResponseEntity<PhotoResponseDto>","{""id"": 1, ""title"": ""Photo"", ""approvalStatus"": ""REJECTED"", ""rejectionReason"": ""Quality does not meet standards""}"
PhotoController,PATCH,/api/v1/photos/{id}/featured,Set or unset photo as featured,@PathVariable Long id / @RequestParam Boolean featured,"setFeatured(Long id, Boolean featured)","ResponseEntity<PhotoResponseDto>","{""id"": 1, ""title"": ""Photo"", ""isFeatured"": true, ""updatedAt"": ""2024-01-20T18:00:00""}"
PhotoController,PUT,/api/v1/photos/{id}/tags,Assign multiple tags to photo (replace all),@PathVariable Long id / @RequestBody List<Long> tagIds,"assignTags(Long id, List<Long> tagIds)","ResponseEntity<PhotoResponseDto>","{""id"": 1, ""title"": ""Photo"", ""tags"": [{""id"": 1, ""name"": ""wildlife""}, {""id"": 2, ""name"": ""elephant""}]}"
PhotoController,POST,/api/v1/photos/{id}/tags/{tagId},Add a single tag to photo,@PathVariable Long id / @PathVariable Long tagId,"addTag(Long id, Long tagId)","ResponseEntity<PhotoResponseDto>","{""id"": 1, ""title"": ""Photo"", ""tags"": [{""id"": 1, ""name"": ""wildlife""}]}"
PhotoController,DELETE,/api/v1/photos/{id}/tags/{tagId},Remove a tag from photo,@PathVariable Long id / @PathVariable Long tagId,"removeTag(Long id, Long tagId)","ResponseEntity<PhotoResponseDto>","{""id"": 1, ""title"": ""Photo"", ""tags"": []}"
PhotoController,PUT,/api/v1/photos/{id}/categories,Assign multiple categories to photo (replace all),@PathVariable Long id / @RequestBody List<Long> categoryIds,"assignCategories(Long id, List<Long> categoryIds)","ResponseEntity<PhotoResponseDto>","{""id"": 1, ""title"": ""Photo"", ""categories"": [{""id"": 1, ""name"": ""Wildlife""}, {""id"": 2, ""name"": ""Nature""}]}"
PhotoController,POST,/api/v1/photos/{id}/categories/{categoryId},Add a single category to photo,@PathVariable Long id / @PathVariable Long categoryId,"addCategory(Long id, Long categoryId)","ResponseEntity<PhotoResponseDto>","{""id"": 1, ""title"": ""Photo"", ""categories"": [{""id"": 1, ""name"": ""Wildlife""}]}"
PhotoController,DELETE,/api/v1/photos/{id}/categories/{categoryId},Remove a category from photo,@PathVariable Long id / @PathVariable Long categoryId,"removeCategory(Long id, Long categoryId)","ResponseEntity<PhotoResponseDto>","{""id"": 1, ""title"": ""Photo"", ""categories"": []}"
PhotoController,POST,/api/v1/photos/{id}/increment-views,Increment photo view count,@PathVariable Long id,"incrementViews(Long id)","ResponseEntity<PhotoResponseDto>","{""id"": 1, ""viewCount"": 151}"
PhotoController,POST,/api/v1/photos/{id}/increment-downloads,Increment photo download count,@PathVariable Long id,"incrementDownloads(Long id)","ResponseEntity<PhotoResponseDto>","{""id"": 1, ""downloadCount"": 26}"
PhotoController,POST,/api/v1/photos/{id}/like,Increment photo like count,@PathVariable Long id,"like(Long id)","ResponseEntity<PhotoResponseDto>","{""id"": 1, ""likeCount"": 101}"
PhotoController,POST,/api/v1/photos/{id}/unlike,Decrement photo like count,@PathVariable Long id,"unlike(Long id)","ResponseEntity<PhotoResponseDto>","{""id"": 1, ""likeCount"": 100}"
PhotoController,GET,/api/v1/photos/photographer/{photographerId}/count,Count total photos by photographer,@PathVariable Long photographerId,"countByPhotographer(Long photographerId)",ResponseEntity<Long>,"{""count"": 45}"
PhotoController,GET,/api/v1/photos/photographer/{photographerId}/count-approved,Count approved photos by photographer,@PathVariable Long photographerId,"countApprovedByPhotographer(Long photographerId)",ResponseEntity<Long>,"{""count"": 40}"
PhotoController,GET,/api/v1/photos/count-pending,Count photos pending approval,None,"countPending()",ResponseEntity<Long>,"{""count"": 15}"
PhotoController,GET,/api/v1/photos/count,Count total photos,None,"countTotal()",ResponseEntity<Long>,"{""count"": 1500}"
PhotoController,POST,/api/v1/photos/{id}/process,Process uploaded photo (generate thumbnails etc),@PathVariable Long id,"process(Long id)","ResponseEntity<PhotoResponseDto>","{""id"": 1, ""title"": ""Photo"", ""processed"": true, ""thumbnailUrl"": ""https://cloudinary.com/thumb.jpg""}"
PhotoController,GET,/api/v1/photos/{id}/exists,Check if photo exists by ID,@PathVariable Long id,"exists(Long id)",ResponseEntity<Boolean>,"{""exists"": true}"
PhotoController,DELETE,/api/v1/photos/{id},Delete photo permanently,@PathVariable Long id,"delete(Long id)",ResponseEntity<Void>,"{""status"": ""204 No Content""}"
CategoryController,POST,/api/v1/categories,Create a new category,@RequestBody CategoryCreateDto,"createCategory(CategoryCreateDto category)","ResponseEntity<CategoryResponseDto>","{""id"": 1, ""name"": ""Wildlife"", ""slug"": ""wildlife"", ""description"": ""Wildlife photography"", ""isActive"": true, ""displayOrder"": 1}"
CategoryController,PUT,/api/v1/categories/{id},Update category details,@PathVariable Long id / @RequestBody CategoryUpdateDto,"updateCategory(Long id, CategoryUpdateDto category)","ResponseEntity<CategoryResponseDto>","{""id"": 1, ""name"": ""Wildlife Updated"", ""description"": ""Updated description"", ""updatedAt"": ""2024-01-20T15:00:00""}"
CategoryController,PATCH,/api/v1/categories/{id}/info,Update category name and description,@PathVariable Long id / @RequestParam String name / @RequestParam String description,"updateCategoryInfo(Long id, String name, String description)","ResponseEntity<CategoryResponseDto>","{""id"": 1, ""name"": ""Updated Name"", ""description"": ""Updated description""}"
CategoryController,PATCH,/api/v1/categories/{id}/image,Update category image URL,@PathVariable Long id / @RequestParam String imageUrl,"updateCategoryImage(Long id, String imageUrl)","ResponseEntity<CategoryResponseDto>","{""id"": 1, ""imageUrl"": ""https://cloudinary.com/category.jpg"", ""updatedAt"": ""2024-01-20T15:30:00""}"
CategoryController,PATCH,/api/v1/categories/{id}/order,Update category display order,@PathVariable Long id / @RequestParam Integer displayOrder,"updateDisplayOrder(Long id, Integer displayOrder)","ResponseEntity<CategoryResponseDto>","{""id"": 1, ""displayOrder"": 5, ""updatedAt"": ""2024-01-20T16:00:00""}"
CategoryController,GET,/api/v1/categories/{id},Get category by ID,@PathVariable Long id,"getById(Long id)","ResponseEntity<CategoryResponseDto>","{""id"": 1, ""name"": ""Wildlife"", ""slug"": ""wildlife"", ""photoCount"": 150}"
CategoryController,GET,/api/v1/categories/slug/{slug},Get category by slug,@PathVariable String slug,"getBySlug(String slug)","ResponseEntity<CategoryResponseDto>","{""id"": 1, ""name"": ""Wildlife"", ""slug"": ""wildlife"", ""isActive"": true}"
CategoryController,GET,/api/v1/categories/name/{name},Get category by name,@PathVariable String name,"getByName(String name)","ResponseEntity<CategoryResponseDto>","{""id"": 1, ""name"": ""Wildlife"", ""slug"": ""wildlife""}"
CategoryController,GET,/api/v1/categories,Get all categories with pagination,Pageable,"getAll(Pageable pageable)","Page<CategoryResponseDto>","{""content"": [{""id"": 1, ""name"": ""Wildlife""}, {""id"": 2, ""name"": ""Landscape""}], ""totalElements"": 15}"
CategoryController,GET,/api/v1/categories/active,Get active categories with pagination,Pageable,"getActive(Pageable pageable)","Page<CategoryResponseDto>","{""content"": [{""id"": 1, ""name"": ""Wildlife"", ""isActive"": true}], ""totalElements"": 12}"
CategoryController,GET,/api/v1/categories/active/list,Get active categories as list (no pagination),None,"getActiveList()","ResponseEntity<List<CategoryResponseDto>>","[{""id"": 1, ""name"": ""Wildlife""}, {""id"": 2, ""name"": ""Landscape""}]"
CategoryController,GET,/api/v1/categories/ordered,Get categories ordered by display order,None,"getOrdered()","ResponseEntity<List<CategoryResponseDto>>","[{""id"": 1, ""name"": ""Wildlife"", ""displayOrder"": 1}, {""id"": 2, ""name"": ""Landscape"", ""displayOrder"": 2}]"
CategoryController,GET,/api/v1/categories/active/ordered,Get active categories ordered by display order,None,"getActiveOrdered()","ResponseEntity<List<CategoryResponseDto>>","[{""id"": 1, ""name"": ""Wildlife"", ""displayOrder"": 1, ""isActive"": true}]"
CategoryController,GET,/api/v1/categories/search,Search categories by term,@RequestParam String q / Pageable,"search(String q, Pageable pageable)","Page<CategoryResponseDto>","{""content"": [{""id"": 1, ""name"": ""Wildlife""}], ""totalElements"": 3}"
CategoryController,GET,/api/v1/categories/empty,Get categories with no photos,None,"getEmpty()","ResponseEntity<List<CategoryResponseDto>>","[{""id"": 5, ""name"": ""Empty Category"", ""photoCount"": 0}]"
CategoryController,GET,/api/v1/categories/with-photo-count,Get categories with photo counts,Pageable,"getWithPhotoCount(Pageable pageable)",Page<Object[]>,"{""content"": [[1, ""Wildlife"", 150], [2, ""Landscape"", 200]], ""totalElements"": 15}"
CategoryController,GET,/api/v1/categories/counts/active,Count active categories,None,"countActive()",ResponseEntity<Long>,"{""count"": 12}"
CategoryController,GET,/api/v1/categories/counts/total,Count total categories,None,"countTotal()",ResponseEntity<Long>,"{""count"": 15}"
CategoryController,POST,/api/v1/categories/reorder,Reorder multiple categories at once,@RequestBody List<CategoryReorderItemDto>,"reorder(List<CategoryReorderItemDto> items)","ResponseEntity<List<CategoryResponseDto>>","[{""id"": 1, ""displayOrder"": 1}, {""id"": 2, ""displayOrder"": 2}]"
CategoryController,DELETE,/api/v1/categories/{id},Delete category permanently,@PathVariable Long id,"delete(Long id)",ResponseEntity<Void>,"{""status"": ""204 No Content""}"
CategoryController,POST,/api/v1/categories/{id}/activate,Activate a category,@PathVariable Long id,"activate(Long id)","ResponseEntity<CategoryResponseDto>","{""id"": 1, ""isActive"": true, ""updatedAt"": ""2024-01-20T17:00:00""}"
CategoryController,POST,/api/v1/categories/{id}/deactivate,Deactivate a category,@PathVariable Long id,"deactivate(Long id)","ResponseEntity<CategoryResponseDto>","{""id"": 1, ""isActive"": false, ""updatedAt"": ""2024-01-20T17:00:00""}"
PhotoSearchController,POST,/api/v1/photos/search/filters,Search photos with multiple filters,@RequestBody PhotoFilterDto / Pageable,"searchWithFilters(PhotoFilterDto filters, Pageable pageable)","ResponseEntity<Page<PhotoResponseDto>>","{""content"": [{""id"": 1, ""title"": ""Filtered Photo""}], ""totalElements"": 25}"
PhotoSearchController,GET,/api/v1/photos/search/tags/all,Search photos by all tags (AND logic),@RequestParam List<String> tags / Pageable,"searchByAllTags(List<String> tagNames, Pageable pageable)","ResponseEntity<Page<PhotoResponseDto>>","{""content"": [{""id"": 1, ""tags"": [""wildlife"", ""elephant""]}], ""totalElements"": 10}"
PhotoSearchController,GET,/api/v1/photos/search/tags/any,Search photos by any tags (OR logic),@RequestParam List<String> tags / Pageable,"searchByAnyTags(List<String> tagNames, Pageable pageable)","ResponseEntity<Page<PhotoResponseDto>>","{""content"": [{""id"": 1, ""tags"": [""wildlife""]}], ""totalElements"": 50}"
PhotoSearchController,GET,/api/v1/photos/search/categories,Search photos by multiple categories,@RequestParam List<String> slugs / Pageable,"searchByCategories(List<String> categorySlugs, Pageable pageable)","ResponseEntity<Page<PhotoResponseDto>>","{""content"": [{""id"": 1, ""categories"": [""wildlife"", ""nature""]}], ""totalElements"": 35}"
PhotoSearchController,GET,/api/v1/photos/search/photographer/{photographerId}/tags,Search photos by photographer and tags,@PathVariable Long photographerId / @RequestParam List<String> tags / Pageable,"searchByPhotographerAndTags(Long photographerId, List<String> tagNames, Pageable pageable)","ResponseEntity<Page<PhotoResponseDto>>","{""content"": [{""id"": 1, ""photographerId"": 1, ""tags"": [""wildlife""]}], ""totalElements"": 15}"
PhotoSearchController,GET,/api/v1/photos/search/location-price,Search by location and price range,@RequestParam String location / @RequestParam BigDecimal minPrice / @RequestParam BigDecimal maxPrice / Pageable,"searchByLocationAndPriceRange(String location, BigDecimal minPrice, BigDecimal maxPrice, Pageable pageable)","ResponseEntity<Page<PhotoResponseDto>>","{""content"": [{""id"": 1, ""location"": ""Yala"", ""price"": 25.00}], ""totalElements"": 20}"
PhotoSearchController,GET,/api/v1/photos/search/capture-date-range,Search by capture date range,@RequestParam LocalDateTime startDate / @RequestParam LocalDateTime endDate / Pageable,"searchByCaptureDateRange(LocalDateTime startDate, LocalDateTime endDate, Pageable pageable)","ResponseEntity<Page<PhotoResponseDto>>","{""content"": [{""id"": 1, ""captureDate"": ""2024-01-15T08:30:00""}], ""totalElements"": 30}"
PhotoSearchController,GET,/api/v1/photos/search/camera,Search by camera model,@RequestParam String model / Pageable,"searchByCameraModel(String cameraModel, Pageable pageable)","ResponseEntity<Page<PhotoResponseDto>>","{""content"": [{""id"": 1, ""cameraModel"": ""Canon EOS R5""}], ""totalElements"": 40}"
PhotoSearchController,GET,/api/v1/photos/search/lens,Search by lens,@RequestParam String lens / Pageable,"searchByLens(String lens, Pageable pageable)","ResponseEntity<Page<PhotoResponseDto>>","{""content"": [{""id"": 1, ""lens"": ""RF 100-500mm""}], ""totalElements"": 25}"
PhotoSearchController,GET,/api/v1/photos/search/iso,Search by ISO range,@RequestParam String range / Pageable,"searchByIsoRange(String isoRange, Pageable pageable)","ResponseEntity<Page<PhotoResponseDto>>","{""content"": [{""id"": 1, ""iso"": 800}], ""totalElements"": 35}"
PhotoSearchController,GET,/api/v1/photos/search/aperture,Search by aperture range,@RequestParam String range / Pageable,"searchByApertureRange(String apertureRange, Pageable pageable)","ResponseEntity<Page<PhotoResponseDto>>","{""content"": [{""id"": 1, ""aperture"": ""f/5.6""}], ""totalElements"": 30}"
PhotoSearchController,GET,/api/v1/photos/search/orientation/{orientation},Search by photo orientation,@PathVariable String orientation / Pageable,"searchByOrientation(String orientation, Pageable pageable)","ResponseEntity<Page<PhotoResponseDto>>","{""content"": [{""id"": 1, ""orientation"": ""landscape""}], ""totalElements"": 200}"
PhotoSearchController,GET,/api/v1/photos/search/dimensions,Search by minimum dimensions,@RequestParam Integer minWidth / @RequestParam Integer minHeight / Pageable,"searchByMinimumDimensions(Integer minWidth, Integer minHeight, Pageable pageable)","ResponseEntity<Page<PhotoResponseDto>>","{""content"": [{""id"": 1, ""width"": 4000, ""height"": 3000}], ""totalElements"": 150}"
PhotoSearchController,GET,/api/v1/photos/search/popular/{metric},Get popular photos by metric (views downloads likes),@PathVariable String metric / Pageable,"getPopularPhotos(String metric, Pageable pageable)","ResponseEntity<Page<PhotoResponseDto>>","{""content"": [{""id"": 1, ""viewCount"": 5000}], ""totalElements"": 50}"
PhotoSearchController,GET,/api/v1/photos/search/trending,Get trending photos from last N days,@RequestParam Integer days (default: 7) / Pageable,"getTrendingPhotos(int days, Pageable pageable)","ResponseEntity<Page<PhotoResponseDto>>","{""content"": [{""id"": 1, ""viewCount"": 1200, ""uploadDate"": ""2024-01-18T10:00:00""}], ""totalElements"": 30}"
PhotoSearchController,GET,/api/v1/photos/search/recommended/{userId},Get recommended photos for user,@PathVariable Long userId / Pageable,"getRecommendedPhotos(Long userId, Pageable pageable)","ResponseEntity<Page<PhotoResponseDto>>","{""content"": [{""id"": 1, ""title"": ""Recommended Photo""}], ""totalElements"": 25}"
PhotoSearchController,GET,/api/v1/photos/search/price-tier/{tier},Get photos by price tier (budget standard premium),@PathVariable String priceTier / Pageable,"getPhotosByPriceTier(String priceTier, Pageable pageable)","ResponseEntity<Page<PhotoResponseDto>>","{""content"": [{""id"": 1, ""price"": 15.00, ""priceTier"": ""budget""}], ""totalElements"": 100}"
PhotoSearchController,GET,/api/v1/photos/search/full-text,Full-text search across all fields,@RequestParam String query / Pageable,"fullTextSearch(String query, Pageable pageable)","ResponseEntity<Page<PhotoResponseDto>>","{""content"": [{""id"": 1, ""title"": ""Wildlife Elephant""}], ""totalElements"": 45}"
PhotoSearchController,POST,/api/v1/photos/search/approved,Filter approved photos with search criteria,@RequestBody PhotoSearchCriteria / Pageable,"filterApprovedPhotos(PhotoSearchCriteria searchCriteria, Pageable pageable)","ResponseEntity<Page<PhotoResponseDto>>","{""content"": [{""id"": 1, ""approvalStatus"": ""APPROVED""}], ""totalElements"": 400}"
PhotoSearchController,GET,/api/v1/photos/search/photographer/{photographerId}/recent,Get recent photos by photographer from last N days,@PathVariable Long photographerId / @RequestParam Integer days (default: 30) / Pageable,"getRecentPhotosByPhotographer(Long photographerId, int days, Pageable pageable)","ResponseEntity<Page<PhotoResponseDto>>","{""content"": [{""id"": 1, ""photographerId"": 1, ""uploadDate"": ""2024-01-19T10:00:00""}], ""totalElements"": 12}"
PhotoSearchController,POST,/api/v1/photos/search/comprehensive,Comprehensive search with all criteria,@RequestBody PhotoSearchCriteria / Pageable,"searchWithCriteria(PhotoSearchCriteria searchCriteria, Pageable pageable)","ResponseEntity<Page<PhotoResponseDto>>","{""content"": [{""id"": 1, ""title"": ""Matching Photo""}], ""totalElements"": 18}"
PhotoSearchController,POST,/api/v1/photos/search/quick,Quick search with simplified criteria,@RequestBody QuickSearchDto / Pageable,"quickSearch(QuickSearchDto quickSearch, Pageable pageable)","ResponseEntity<Page<PhotoResponseDto>>","{""content"": [{""id"": 1, ""title"": ""Quick Result""}], ""totalElements"": 22}"
TagController,POST,/api/v1/tags,Create a new tag with full details,@RequestBody TagCreateDto,"createTag(TagCreateDto tagCreateDto)","ResponseEntity<TagResponseDto>","{""id"": 1, ""name"": ""wildlife"", ""description"": ""Wildlife photography tag"", ""usageCount"": 0}"
TagController,POST,/api/v1/tags/simple,Create a simple tag by name only,@RequestParam String name,"createSimpleTag(String name)","ResponseEntity<TagResponseDto>","{""id"": 1, ""name"": ""wildlife"", ""usageCount"": 0}"
TagController,PUT,/api/v1/tags/{id},Update tag details,@PathVariable Long id / @RequestBody TagUpdateDto,"updateTag(Long id, TagUpdateDto tagUpdateDto)","ResponseEntity<TagResponseDto>","{""id"": 1, ""name"": ""wildlife-updated"", ""description"": ""Updated description""}"
TagController,PATCH,/api/v1/tags/{id}/description,Update tag description only,@PathVariable Long id / @RequestParam String description,"updateDescription(Long id, String description)","ResponseEntity<TagResponseDto>","{""id"": 1, ""description"": ""New description""}"
TagController,PATCH,/api/v1/tags/{id}/rename,Rename a tag,@PathVariable Long id / @RequestParam String newName,"renameTag(Long id, String newName)","ResponseEntity<TagResponseDto>","{""id"": 1, ""name"": ""new-tag-name""}"
TagController,GET,/api/v1/tags/{id},Get tag by ID,@PathVariable Long id,"getById(Long id)","ResponseEntity<TagResponseDto>","{""id"": 1, ""name"": ""wildlife"", ""usageCount"": 150}"
TagController,GET,/api/v1/tags/name/{name},Get tag by name,@PathVariable String name,"getByName(String name)","ResponseEntity<TagResponseDto>","{""id"": 1, ""name"": ""wildlife"", ""usageCount"": 150}"
TagController,GET,/api/v1/tags,Get all tags with pagination,Pageable,"getAll(Pageable pageable)","Page<TagResponseDto>","{""content"": [{""id"": 1, ""name"": ""wildlife""}, {""id"": 2, ""name"": ""elephant""}], ""totalElements"": 50}"
