Controller Class Name,Method,EndPoint,Description,Parameters,Function Name,Response Type,Sample Response JSON
OrderController,GET,/api/v1/orders/search,Search orders with criteria (admin only),@ModelAttribute OrderSearchCriteria / Pageable,"searchOrders(OrderSearchCriteria criteria, Pageable pageable)","ResponseEntity<Page<OrderResponseDto>>","{""content"": [{""id"": 1, ""orderNumber"": ""ORD-2024-0001""}], ""totalElements"": 5}"
OrderController,GET,/api/v1/orders/my-orders/date-range,Get current user's orders by date range,@RequestAttribute Long userId / @RequestParam LocalDateTime startDate / @RequestParam LocalDateTime endDate / Pageable,"getOrdersByDateRange(Long userId, LocalDateTime startDate, LocalDateTime endDate, Pageable pageable)","ResponseEntity<Page<OrderResponseDto>>","{""content"": [{""id"": 1, ""createdAt"": ""2024-01-15T10:00:00""}], ""totalElements"": 6}"
OrderController,GET,/api/v1/orders/my-orders/count,Get order count for current user,@RequestAttribute Long userId,"getMyOrderCount(Long userId)",ResponseEntity<Long>,"{""count"": 15}"
OrderController,GET,/api/v1/orders/{orderId}/validate,Validate order before payment,@PathVariable Long orderId / @RequestAttribute Long userId,"validateOrder(Long orderId, Long userId)",ResponseEntity<Boolean>,"{""valid"": true}"
LicenseController,GET,/api/v1/licenses/{licenseId},Get license by ID,@PathVariable Long licenseId / @RequestAttribute Long userId,"getLicense(Long licenseId, Long userId)","ResponseEntity<LicenseResponseDto>","{""id"": 1, ""licenseKey"": ""LIC-2024-ABC123"", ""photoId"": 10, ""buyerId"": 5, ""orderItemId"": 20, ""isActive"": true, ""expiresAt"": null, ""createdAt"": ""2024-01-20T10:15:00""}"
LicenseController,GET,/api/v1/licenses/key/{licenseKey},Get license by license key,@PathVariable String licenseKey / @RequestAttribute Long userId,"getLicenseByKey(String licenseKey, Long userId)","ResponseEntity<LicenseResponseDto>","{""id"": 1, ""licenseKey"": ""LIC-2024-ABC123"", ""photoId"": 10, ""buyerId"": 5, ""isActive"": true}"
LicenseController,GET,/api/v1/licenses/my-licenses,Get current user's licenses with pagination,@RequestAttribute Long userId / Pageable,"getMyLicenses(Long userId, Pageable pageable)","ResponseEntity<Page<LicenseResponseDto>>","{""content"": [{""id"": 1, ""licenseKey"": ""LIC-2024-ABC123"", ""photoId"": 10}, {""id"": 2, ""licenseKey"": ""LIC-2024-DEF456"", ""photoId"": 15}], ""totalElements"": 25}"
LicenseController,GET,/api/v1/licenses/my-licenses/active,Get current user's active licenses,@RequestAttribute Long userId / Pageable,"getMyActiveLicenses(Long userId, Pageable pageable)","ResponseEntity<Page<LicenseResponseDto>>","{""content"": [{""id"": 1, ""licenseKey"": ""LIC-2024-ABC123"", ""isActive"": true}], ""totalElements"": 20}"
LicenseController,GET,/api/v1/licenses/my-licenses/photo/{photoId},Get current user's licenses for specific photo,@RequestAttribute Long userId / @PathVariable Long photoId,"getMyLicensesForPhoto(Long userId, Long photoId)","ResponseEntity<List<LicenseResponseDto>>","[{""id"": 1, ""licenseKey"": ""LIC-2024-ABC123"", ""photoId"": 10, ""isActive"": true}]"
LicenseController,POST,/api/v1/licenses/verify,Verify license ownership for download,@RequestBody DownloadAuthorizationRequestDto / @RequestAttribute Long userId,"verifyLicense(DownloadAuthorizationRequestDto requestDto, Long userId)","ResponseEntity<LicenseVerificationResultDto>","{""verified"": true, ""licenseId"": 1, ""photoId"": 10, ""canDownload"": true, ""licenseKey"": ""LIC-2024-ABC123""}"
LicenseController,GET,/api/v1/licenses/validate-download,Validate license for photo download,@RequestParam String licenseKey / @RequestParam Long photoId / @RequestAttribute Long userId,"validateForDownload(String licenseKey, Long photoId, Long userId)","ResponseEntity<LicenseVerificationResultDto>","{""verified"": true, ""licenseKey"": ""LIC-2024-ABC123"", ""photoId"": 10, ""canDownload"": true}"
LicenseController,GET,/api/v1/licenses/check-purchase/{photoId},Check if user has purchased a photo,@RequestAttribute Long userId / @PathVariable Long photoId,"checkPhotoPurchase(Long userId, Long photoId)","ResponseEntity<PhotoPurchaseCheckDto>","{""purchased"": true, ""photoId"": 10, ""userId"": 5, ""licenseCount"": 1, ""firstPurchaseDate"": ""2024-01-20T10:15:00""}"
LicenseController,GET,/api/v1/licenses/search,Search licenses with criteria (admin only),@ModelAttribute LicenseSearchCriteria / Pageable,"searchLicenses(LicenseSearchCriteria criteria, Pageable pageable)","ResponseEntity<Page<LicenseResponseDto>>","{""content"": [{""id"": 1, ""licenseKey"": ""LIC-2024-ABC123""}], ""totalElements"": 100}"
LicenseController,GET,/api/v1/licenses/my-licenses/count,Get license count for current user,@RequestAttribute Long userId,"getMyLicenseCount(Long userId)",ResponseEntity<Long>,"{""count"": 25}"
LicenseController,POST,/api/v1/licenses/{licenseId}/deactivate,Deactivate a license (admin only),@PathVariable Long licenseId,"deactivateLicense(Long licenseId)","ResponseEntity<LicenseResponseDto>","{""id"": 1, ""licenseKey"": ""LIC-2024-ABC123"", ""isActive"": false, ""deactivatedAt"": ""2024-01-20T15:00:00""}"
LicenseController,POST,/api/v1/licenses/{licenseId}/activate,Activate a license (admin only),@PathVariable Long licenseId,"activateLicense(Long licenseId)","ResponseEntity<LicenseResponseDto>","{""id"": 1, ""licenseKey"": ""LIC-2024-ABC123"", ""isActive"": true, ""activatedAt"": ""2024-01-20T15:00:00""}"
OrderItemController,POST,/api/v1/order-items,Add item to an order,@RequestBody AddItemToOrderRequestDto / @RequestAttribute Long userId,"addItemToOrder(AddItemToOrderRequestDto requestDto, Long userId)","ResponseEntity<OrderResponseDto>","{""id"": 1, ""orderNumber"": ""ORD-2024-0001"", ""totalAmount"": 200.00, ""items"": [{""id"": 1, ""photoId"": 10, ""price"": 50.00}, {""id"": 2, ""photoId"": 15, ""price"": 150.00}]}"
OrderItemController,DELETE,/api/v1/order-items/{orderItemId},Remove item from order,@PathVariable Long orderItemId / @RequestAttribute Long userId,"removeItemFromOrder(Long orderItemId, Long userId)","ResponseEntity<OrderResponseDto>","{""id"": 1, ""orderNumber"": ""ORD-2024-0001"", ""totalAmount"": 50.00, ""items"": [{""id"": 1, ""photoId"": 10, ""price"": 50.00}]}"
OrderItemController,GET,/api/v1/order-items/{orderItemId},Get order item by ID,@PathVariable Long orderItemId / @RequestAttribute Long userId,"getOrderItem(Long orderItemId, Long userId)","ResponseEntity<OrderItemResponseDto>","{""id"": 1, ""orderId"": 1, ""photoId"": 10, ""photoTitle"": ""Wildlife Photo"", ""price"": 50.00, ""licenseType"": ""STANDARD"", ""createdAt"": ""2024-01-20T10:00:00""}"
OrderItemController,GET,/api/v1/order-items/order/{orderId},Get all items for an order,@PathVariable Long orderId / @RequestAttribute Long userId,"getOrderItems(Long orderId, Long userId)","ResponseEntity<List<OrderItemResponseDto>>","[{""id"": 1, ""photoId"": 10, ""price"": 50.00}, {""id"": 2, ""photoId"": 15, ""price"": 100.00}]"
OrderItemController,GET,/api/v1/order-items/photo/{photoId},Get order items by photo (admin only),@PathVariable Long photoId,"getItemsByPhoto(Long photoId)","ResponseEntity<List<OrderItemResponseDto>>","[{""id"": 1, ""orderId"": 1, ""photoId"": 10, ""price"": 50.00}, {""id"": 5, ""orderId"": 3, ""photoId"": 10, ""price"": 50.00}]"
OrderItemController,GET,/api/v1/order-items/order/{orderId}/count,Get order item count for an order,@PathVariable Long orderId / @RequestAttribute Long userId,"getOrderItemCount(Long orderId, Long userId)",ResponseEntity<Integer>,"{""count"": 3}"
OrderQueryController,GET,/api/v1/orders/query/all,Get all orders with pagination (admin only),Pageable,"getAllOrders(Pageable pageable)","ResponseEntity<Page<OrderSummaryDto>>","{""content"": [{""id"": 1, ""orderNumber"": ""ORD-2024-0001"", ""buyerId"": 5, ""totalAmount"": 150.00}], ""totalElements"": 500}"
OrderQueryController,GET,/api/v1/orders/query/status/{status},Get orders by status (admin only),@PathVariable OrderStatus status / Pageable,"getOrdersByStatus(OrderStatus status, Pageable pageable)","ResponseEntity<Page<OrderResponseDto>>","{""content"": [{""id"": 1, ""status"": ""COMPLETED""}], ""totalElements"": 250}"
OrderQueryController,GET,/api/v1/orders/query/buyer/{buyerId},Get orders by buyer (admin only),@PathVariable Long buyerId / Pageable,"getOrdersByBuyer(Long buyerId, Pageable pageable)","ResponseEntity<Page<OrderResponseDto>>","{""content"": [{""id"": 1, ""buyerId"": 5, ""totalAmount"": 150.00}], ""totalElements"": 15}"
OrderQueryController,GET,/api/v1/orders/query/photographer/{photographerId},Get orders containing photos by photographer (admin only),@PathVariable Long photographerId / Pageable,"getOrdersByPhotographer(Long photographerId, Pageable pageable)","ResponseEntity<Page<OrderResponseDto>>","{""content"": [{""id"": 1, ""photographerId"": 10}], ""totalElements"": 50}"
OrderQueryController,GET,/api/v1/orders/query/photo/{photoId},Get orders containing specific photo (admin only),@PathVariable Long photoId / Pageable,"getOrdersByPhoto(Long photoId, Pageable pageable)","ResponseEntity<Page<OrderResponseDto>>","{""content"": [{""id"": 1, ""photoId"": 10}], ""totalElements"": 8}"
OrderQueryController,GET,/api/v1/orders/query/date-range,Get orders by date range (admin only),@RequestParam LocalDateTime startDate / @RequestParam LocalDateTime endDate / Pageable,"getOrdersByDateRange(LocalDateTime startDate, LocalDateTime endDate, Pageable pageable)","ResponseEntity<Page<OrderResponseDto>>","{""content"": [{""id"": 1, ""createdAt"": ""2024-01-15T10:00:00""}], ""totalElements"": 75}"
OrderQueryController,GET,/api/v1/orders/query/search,Search orders with advanced criteria (admin only),@ModelAttribute OrderSearchCriteria / Pageable,"searchOrders(OrderSearchCriteria criteria, Pageable pageable)","ResponseEntity<Page<OrderResponseDto>>","{""content"": [{""id"": 1, ""orderNumber"": ""ORD-2024-0001""}], ""totalElements"": 10}"
OrderQueryController,GET,/api/v1/orders/query/recent,Get recent orders (admin only),Pageable,"getRecentOrders(Pageable pageable)","ResponseEntity<Page<OrderSummaryDto>>","{""content"": [{""id"": 100, ""orderNumber"": ""ORD-2024-0100"", ""createdAt"": ""2024-01-20T10:00:00""}], ""totalElements"": 50}"
OrderQueryController,GET,/api/v1/orders/query/statistics,Get order statistics summary (admin only),None,"getOrderStatistics()","ResponseEntity<Map<String, Object>>","{""totalOrders"": 500, ""completedOrders"": 450, ""cancelledOrders"": 30, ""pendingOrders"": 20, ""totalRevenue"": 50000.00, ""averageOrderValue"": 100.00}"
OrderQueryController,GET,/api/v1/orders/query/total-sales,Get total sales amount (admin only),None,"getTotalSales()",ResponseEntity<BigDecimal>,"{""totalSales"": 50000.00}"
OrderQueryController,GET,/api/v1/orders/query/buyer/{buyerId}/statistics,Get statistics for specific buyer (admin only),@PathVariable Long buyerId,"getBuyerStatistics(Long buyerId)","ResponseEntity<Map<String, Object>>","{""buyerId"": 5, ""totalOrders"": 15, ""totalSpent"": 1500.00, ""averageOrderValue"": 100.00, ""firstOrderDate"": ""2024-01-10T10:00:00"", ""lastOrderDate"": ""2024-01-20T10:00:00""}"
OrderQueryController,GET,/api/v1/orders/query/top-buyers/by-orders,Get top buyers by order count (admin only),Pageable,"getTopBuyersByOrderCount(Pageable pageable)","ResponseEntity<Page<Map<String, Object>>>","{""content"": [{""buyerId"": 5, ""orderCount"": 50, ""totalSpent"": 5000.00}, {""buyerId"": 8, ""orderCount"": 45, ""totalSpent"": 4500.00}], ""totalElements"": 100}"
OrderQueryController,GET,/api/v1/orders/query/top-buyers/by-spending,Get top buyers by total spending (admin only),Pageable,"getTopBuyersBySpending(Pageable pageable)","ResponseEntity<Page<Map<String, Object>>>","{""content"": [{""buyerId"": 8, ""totalSpent"": 10000.00, ""orderCount"": 80}, {""buyerId"": 5, ""totalSpent"": 8500.00, ""orderCount"": 65}], ""totalElements"": 100}"
OrderQueryController,GET,/api/v1/orders/query/count/status/{status},Count orders by status (admin only),@PathVariable OrderStatus status,"countOrdersByStatus(OrderStatus status)",ResponseEntity<Long>,"{""count"": 250}"
OrderQueryController,GET,/api/v1/orders/query/count/total,Count total orders (admin only),None,"countTotalOrders()",ResponseEntity<Long>,"{""count"": 500}"
